Название,Метро,Удаленность,Телефон,Сайт,Рейтинг,Парикмахерский зал (женский),Парикмахерский зал (мужской),Ногтевой сервис (женский),Ногтевой сервис (мужской),Ресницы,Шугаринг,Лазерная эпиляция,Элетроэпиляция,Брови,Визажист,Косметология,Перманентный макияж,Массаж,Солярий
Город красоты,Белорусская,4 минуты,7 (495) 150-05-03,https://gorod-krasoti.com/,4.5,1,1,1,1,0,0,1,0,0,0,1,0,1,1
Сity Nails,Белорусская,7 минут,7(499) 686-18-66,https://citynails.studio/,4.6,1,1,1,1,1,1,0,0,1,1,1,1,1,0
Brow Beaty Bar,Белорусская,6 минут,7 (967) 004-75-44,https://browbeautybar.com/,4.5,0,0,0,0,1,1,0,0,1,0,0,0,0,0
БиоСпаКлиник,Белорусская,9 минут,7 (499) 521-64-74,https://www.biospaclinic.ru/,4.4,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Центр Красоты,Маяковская,3 минуты,7 (495) 664 52 53,https://freshsalon.ru/,4.5,1,1,1,1,1,1,1,0,1,0,1,0,1,0
Tulum beaty place,Маяковская,2 минуты,7 (925) 045-25-55,https://tulum-place.ru/,5,0,0,1,1,1,0,0,0,1,0,0,1,0,0
Маяк,Маяковская,1 минута,7 (926) 376-58-78,https://salonmayak.ru/,4.9,1,1,1,0,1,1,0,1,1,1,1,0,0,1
Color Bar ColBa,Тверская,1 минута,7 (499) 110-22-10,https://colbacolorbar.ru/,4.8,1,1,1,1,0,0,0,0,0,1,1,0,0,0
Evolution Cosmetology,Тверская,2 минуты,7 (495) 186 07 26,https://www.evolution-clinic.com/,4.9,0,0,0,0,0,1,1,1,0,0,1,1,0,0
Whipsy Underground Beaty,Тверская,3 минуты,7 926 454-30-30,https://whipsy.ru/,4.9,1,1,1,1,1,1,0,0,1,1,0,1,0,0
Sахар,Тверская,3 минуты,7 (495) 724 38 51,https://xn--80aaa6bkfrbe5b.xn--p1ai/,4.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Sky Beaty Room,Тверская,1 минута,7 (800) 500-87-90,https://sky-beautyroom.ru/,5,0,0,0,0,0,0,1,0,0,0,1,0,1,1
Инфанта,Тверская,5 минут,7 (499) 553-00-52,https://infanta-salon.ru/,4.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bronze&Beaty,Тверская,2 минуты,7 495 108-11-76,https://bronzeandbeauty.ru/,4.7,1,1,0,0,0,1,1,0,0,1,1,1,1,1
Belli Beaty,Тверская,3 минуты,7 (901) 256-59-85,https://stilistic.ru/card/nogtevaya-studiya-belli-nails-room-na-tverskom-bulvare,4.5,1,1,1,1,1,1,1,1,1,1,0,0,1,0
Tevoli,Тверская,5 минут,7 (495) 691-50-52,https://tevoli.ru/,4.7,1,1,1,1,1,1,0,0,0,0,1,0,0,0
